"id","name","dekanat_id"
"101","Bratislava","BA"
"106","Bratislava - Petržalka","BA"
"111","Trnava","BA"
"121","Trenčín","TN"
"126","Prievidza","TN"
"131","Nitra","TN"
"136","Komárno","TN"
"141","Žilina","ZA"
"146","Martin","ZA"
"151","Liptovský Mikuláš","ZA"
"161","Zvolen","BB"
"166","Banská Bystrica","BB"
"171","Brezno","BB"
"176","Šumiac","BB"
"181","Telgárt","BB"
"201","Košice - Staré Mesto","SP"
"206","Košice - Západ","KE"
"211","Košice - Dargovských Hrdinov","KE"
"216","Košice - Nad jazerom","KE"
"221","Košice - Ťahanovce","KE"
"226","Košice - Šaca","KE"
"231","Košice - Sever","KE"
"236","Moldava nad Bodvou","KE"
"241","Košický Klečenov","KE"
"246","Kráľovce","KE"
"251","Rozhanovce","KE"
"256","Sady nad Torysou - Zdoba","KE"
"261","Slanské Nové Mesto","KE"
"301","Dúbravka","MI"
"302","Budkovce","MI"
"303","Hatalov","MI"
"306","Falkušovce","MI"
"311","Iňačovce","MI"
"316","Jovsa","MI"
"321","Klokočov","MI"
"322","Kusín","MI"
"326","Lastomír","MI"
"331","Michalovce","MI"
"332","Michalovce - bazilika","MI"
"336","Michalovce - Topoľany","MI"
"341","Nacina Ves","MI"
"342","Lesné","MI"
"346","Oreské","MI"
"347","Zbudza","MI"
"351","Petrikovce","MI"
"356","Poruba pod Vihorlatom","MI"
"361","Pozdišovce","MI"
"362","Laškovce","MI"
"371","Rakovec nad Ondavou","MI"
"376","Slavkovce","MI"
"381","Strážske","MI"
"382","Pusté Čemerné","MI"
"383","Voľa","MI"
"391","Šamudovce","MI"
"396","Trhovište","MI"
"397","Bánovce nad Ondavou","MI"
"398","Horovce","MI"
"399","Lučkovce","MI"
"400","Moravany","MI"
"401","Trnava pri Laborci","MI"
"402","Vinné","MI"
"406","Vysoká nad Uhom","MI"
"411","Zalužice","MI"
"416","Zemplínska Široká","MI"
"451","Bačkov","SE"
"456","Dvorianky","SE"
"461","Sečovce","SE"
"466","Stankovce","SE"
"471","Zbehňov","SE"
"476","Zemplínska Teplica","SE"
"501","Bežovce","SO"
"506","Bunkovce","SO"
"511","Blatné Revištia","SO"
"516","Hlivištia","SO"
"517","Baškovce","SO"
"521","Choňkovce","SO"
"522","Koňuš","SO"
"523","Priekopa","SO"
"524","Tibava","SO"
"525","Vojnatina","SO"
"526","Jasenov","SO"
"531","Koromľa","SO"
"536","Lekárovce","SO"
"537","Bajany","SO"
"541","Nižná Rybnica","SO"
"546","Podhoroď","SO"
"551","Porostov","SO"
"556","Ruský Hrabovec","SO"
"561","Sobrance","SO"
"566","Úbrež","SO"
"571","Vyšná Rybnica","SO"
"576","Vyšné Nemecké","SO"
"601","Prakovce a Gelnica","SN"
"606","Helcmanovce","SN"
"611","Kojšov","SN"
"616","Poráč","SN"
"621","Slovinky","SN"
"626","Spišská Nová Ves","SN"
"631","Závadka","SN"
"701","Brezina","TV"
"702","Kazimír","TV"
"706","Cejkov","TV"
"711","Čeľovce","TV"
"716","Kuzmice","TV"
"717","Slivník","TV"
"721","Lastovce","TV"
"722","Michaľany","TV"
"726","Nižný Žipov","TV"
"731","Novosad","TV"
"732","Zemplínske Jastrabie","TV"
"733","Kysta","TV"
"734","Hraň","TV"
"735","Sirník","TV"
"736","Nový Ruskov","TV"
"741","Stanča","TV"
"746","Trebišov","TV"
"751","Veľaty","TV"
"756","Veľká Tŕňa","TV"
"761","Vojčice","TV"
"766","Zemplínske Hradište","TV"
"801","Borša","VK"
"806","Čičarovce","VK"
"811","Čierna nad Tisou","VK"
"816","Dobrá","VK"
"821","Kráľovský Chlmec","VK"
"826","Maťovské Vojkovce","VK"
"831","Poľany","VK"
"836","Pribeník","VK"
"841","Rad – Hrušov","VK"
"846","Streda nad Bodrogom","VK"
"851","Veľké Slemence","VK"
"856","Zemplín","VK"
"1001","Andrejová","BJ"
"1006","Bardejov","BJ"
"1011","Bardejov - Družba","BJ"
"1016","Bardejov - Vinbarg","BJ"
"1021","Becherov","BJ"
"1026","Beloveža","BJ"
"1031","Chmeľová","BJ"
"1036","Mikulášová","BJ"
"1041","Ortuťová","BJ"
"1046","Rešov","BJ"
"1051","Šarišské Čierne","BJ"
"1101","Banské","VV"
"1106","Cabov","VV"
"1111","Davidov","VV"
"1112","Kamenná Poruba","VV"
"1116","Dlhé Klčovo","VV"
"1121","Juskova Voľa","VV"
"1126","Sačurov","VV"
"1131","Sečovská Polianka","VV"
"1136","Vranov - Čemerné","VV"
"1137","Vranov - Lomnica","VV"
"1141","Zámutov","VV"
"1201","Cernina","GI"
"1206","Fijaš","GI"
"1211","Giraltovce","GI"
"1216","Mlynárovce","GI"
"1221","Šarišský Štiavnik","GI"
"1226","Štefurov","GI"
